run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
0,orig_dec,0.5000000000,0.0500000000,0.3627802208,0.0872197792,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7295,7790,7023,207747.4091593082,25.6684735763,28.5810065726,274,0,0,0.0000000000,3.6017297580
1,orig_dec,0.5000000000,0.0500000000,0.3683535111,0.0816464889,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7334,7790,7313,-493981.7791908826,64.4122951465,68.5484451239,235,0,0,0.0000000000,3.6433562600
2,orig_dec,0.5000000000,0.0500000000,0.3606150354,0.0893849646,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7325,7790,7223,157874.5575109559,19.2663103352,20.8572002646,244,0,0,0.0000000000,3.5779613590
3,orig_dec,0.5000000000,0.0500000000,0.3696068905,0.0803931095,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7351,7790,7266,-167631.5776915945,22.5188161350,24.0706823137,218,0,0,0.0000000000,3.5594847580
4,orig_dec,0.5000000000,0.0500000000,0.3668853228,0.0831146772,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7262,7790,6960,-92058.5028447915,12.8175228299,14.2267963857,307,0,0,0.0000000000,3.5634828580
0,orig_dec,0.5000000000,0.0500000000,0.3822913823,0.0677086177,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7229,7790,6848,458343.7543247519,57.8374524165,65.9310388909,340,0,0,0.0000000000,3.7629743620
1,orig_dec,0.5000000000,0.0500000000,0.3643455789,0.0856544211,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7277,7790,7142,-666075.6410274570,86.5039333796,94.2617811576,292,0,0,0.0000000000,3.7024392600
2,orig_dec,0.5000000000,0.0500000000,0.3664415615,0.0835584385,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7274,7790,6968,41286.2910092984,4.2999089871,4.9251278716,295,0,0,0.0000000000,3.6687067600
3,orig_dec,0.5000000000,0.0500000000,0.3607595817,0.0892404183,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7278,7790,7054,-81872.6708379662,11.5099705825,12.6065595177,291,0,0,0.0000000000,3.7781949620
4,orig_dec,0.5000000000,0.0500000000,0.3713744864,0.0786255136,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7202,7790,6833,-69119.6048078414,9.8728632616,11.1155575601,367,0,0,0.0000000000,3.6376992600
0,rr_inc,0.5000000000,0.0500000000,0.3712254748,0.0787745252,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,95616.9370279425,11.2743179753,11.2743179753,0,26550,0,0.0000000000,3.6156465590
1,rr_inc,0.5000000000,0.0500000000,0.3658954251,0.0841045749,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-229903.0965231506,30.5125926217,30.5125926217,0,26397,0,0.0000000000,3.9072561640
2,rr_inc,0.5000000000,0.0500000000,0.3689305929,0.0810694071,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-610511.0731886831,79.3711262116,79.3711262116,0,26599,0,0.0000000000,3.6499690600
3,rr_inc,0.5000000000,0.0500000000,0.3653997617,0.0846002383,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-89105.3141637434,12.4384228708,12.4384228708,0,26569,0,0.0000000000,3.6962729600
4,rr_inc,0.5000000000,0.0500000000,0.3627069933,0.0872930067,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-101171.0920401407,13.9873032144,13.9873032144,0,26451,0,0.0000000000,3.6802028600
0,rr_inc,0.5000000000,0.0500000000,0.3712254748,0.0787745252,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,454769.5771429068,57.3786363470,57.3786363470,0,73994,0,0.0000000000,3.6009030600
1,rr_inc,0.5000000000,0.0500000000,0.3658954251,0.0841045749,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-416182.1570353959,54.4251806207,54.4251806207,0,73605,0,0.0000000000,3.5873736590
2,rr_inc,0.5000000000,0.0500000000,0.3689305929,0.0810694071,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-415035.5768633577,54.2779944626,54.2779944626,0,73862,0,0.0000000000,3.5741269580
3,rr_inc,0.5000000000,0.0500000000,0.3653997617,0.0846002383,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-83865.7017928434,11.7658153778,11.7658153778,0,73530,0,0.0000000000,3.5980310590
4,rr_inc,0.5000000000,0.0500000000,0.3627069933,0.0872930067,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,7569,7569,7790,7790,-892773.1606465863,115.6050270406,115.6050270406,0,73655,0,0.0000000000,3.7128582600
