run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
2,orig_dec,0.5000000000,0.0500000000,0.4323536447,0.0176463553,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,859871,32950647,31030370,30140207.3354239054,0.0852923970,0.0286868208,19231,0,0,0.0000000000,11.7173831920
3,orig_dec,0.5000000000,0.0500000000,0.4325654970,0.0174345030,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,859986,32950647,31247063,31062118.7901661992,0.0573138430,0.0059187710,19116,0,0,0.0000000000,11.4360158870
4,orig_dec,0.5000000000,0.0500000000,0.4324583523,0.0175416477,150.0000000000,0.1500000000,1500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,857396,32950647,30603999,31468476.0903900415,0.0449815419,0.0282471938,21706,0,0,0.0000000000,11.6377757900
0,orig_dec,0.5000000000,0.0500000000,0.4324532214,0.0175467786,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,849937,32950647,29973017,30677000.4580719955,0.0690015751,0.0234872405,29165,0,0,0.0000000000,11.7457296920
1,orig_dec,0.5000000000,0.0500000000,0.4324324641,0.0175675359,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,850055,32950647,29977040,27979465.2334849201,0.1508675009,0.0666368249,29047,0,0,0.0000000000,11.8179868930
2,orig_dec,0.5000000000,0.0500000000,0.4323309532,0.0176690468,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,850560,32950647,30098485,35510837.2872463688,0.0776977243,0.1798214192,28542,0,0,0.0000000000,11.7997756930
3,orig_dec,0.5000000000,0.0500000000,0.4323524829,0.0176475171,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,850630,32950647,30364239,31108831.6440091617,0.0558961818,0.0245220255,28472,0,0,0.0000000000,11.7747869930
4,orig_dec,0.5000000000,0.0500000000,0.4323602018,0.0176397982,150.0000000000,0.1800000000,1800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,848716,32950647,29824005,33509762.7480889224,0.0169682783,0.1235835948,30386,0,0,0.0000000000,11.7797013930
0,orig_dec,0.5000000000,0.0500000000,0.4323434457,0.0176565543,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,843269,32950647,29387911,31886194.4754545502,0.0323044499,0.0850105840,35833,0,0,0.0000000000,11.7184163920
1,orig_dec,0.5000000000,0.0500000000,0.4324677152,0.0175322848,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,843346,32950647,29330328,22690864.2149794996,0.3113681739,0.2263685488,35756,0,0,0.0000000000,11.8231046940
2,orig_dec,0.5000000000,0.0500000000,0.4330117927,0.0169882073,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,844725,32950647,29587237,29574357.9453178085,0.1024650306,0.0004352909,34377,0,0,0.0000000000,11.8142832930
3,orig_dec,0.5000000000,0.0500000000,0.4321462952,0.0178537048,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,845231,32950647,29874751,31595950.3112220913,0.0411129010,0.0576138463,33871,0,0,0.0000000000,11.8167342930
4,orig_dec,0.5000000000,0.0500000000,0.4284407031,0.0215592969,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,840513,32950647,28998451,25309408.7188334055,0.2318994914,0.1272151496,38589,0,0,0.0000000000,11.7882625930
0,rr_inc,0.5000000000,0.0500000000,0.4323153122,0.0176846878,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,32836024.9767020196,0.0034785970,0.0034785970,0,27033,0,0.0000000000,11.2177539840
1,rr_inc,0.5000000000,0.0500000000,0.4320397781,0.0179602219,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,33807711.9054091051,0.0260105638,0.0260105638,0,26971,0,0.0000000000,11.3834306860
2,rr_inc,0.5000000000,0.0500000000,0.4321285593,0.0178714407,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,879102,32950647,32950647,30001005.9347509444,0.0895169392,0.0895169392,0,27111,0,0.0000000000,11.0209472810
